major minor  #blocks  name

   1        0       8192 ram0
   1        1       8192 ram1
   1        2       8192 ram2
   1        3       8192 ram3
   1        4       8192 ram4
   1        5       8192 ram5
   1        6       8192 ram6
   1        7       8192 ram7
   1        8       8192 ram8
   1        9       8192 ram9
   1       10       8192 ram10
   1       11       8192 ram11
   1       12       8192 ram12
   1       13       8192 ram13
   1       14       8192 ram14
   1       15       8192 ram15
   7        0      11016 loop0
   7        8      40792 loop1
   7       16      39204 loop2
   7       24        824 loop3
   7       32        824 loop4
   7       40      39204 loop5
   7       48        352 loop6
   7       56      41180 loop7
   7       64       6588 loop8
   7       72      26536 loop9
   7       80        268 loop10
   7       88        640 loop11
   7       96       1312 loop12
   7      104      46412 loop13
   7      112       4512 loop14
   7      120       7608 loop15
   8        0       4096 sda
   8       16       4096 sdb
   8       32  124960768 sdc
   8       33        512 sdc1
   8       34        512 sdc2
   8       35     131072 sdc3
   8       36       1024 sdc4
   8       37      65536 sdc5
   8       38      32768 sdc6
   8       39      65536 sdc7
   8       40        128 sdc8
   8       41        512 sdc9
   8       42        512 sdc10
   8       43       8192 sdc11
   8       44      16384 sdc12
   8       45       8192 sdc13
   8       46       8192 sdc14
   8       47       8192 sdc15
 259        0       8192 sdc16
 259        1      32768 sdc17
 259        2       2048 sdc18
 259        3       3072 sdc19
 259        4       1024 sdc20
 259        5      25600 sdc21
 259        6       5984 sdc22
 259        7      49152 sdc23
 259        8       8192 sdc24
 259        9       8192 sdc25
 259       10       8192 sdc26
 259       11       8192 sdc27
 259       12       8192 sdc28
 259       13       8192 sdc29
 259       14       8192 sdc30
 259       15       8192 sdc31
 259       16       8192 sdc32
 259       17      49152 sdc33
 259       18     204800 sdc34
 259       19       1024 sdc35
 259       20       1024 sdc36
 259       21       4096 sdc37
 259       22       6144 sdc38
 259       23       6144 sdc39
 259       24       1024 sdc40
 259       25       1024 sdc41
 259       26       1024 sdc42
 259       27      32768 sdc43
 259       28       4096 sdc44
 259       29      65536 sdc45
 259       30      65536 sdc46
 259       31       8192 sdc47
 259       32      16384 sdc48
 259       33       5120 sdc49
 259       34       8192 sdc50
 259       35       8192 sdc51
 259       36       8192 sdc52
 259       37      10240 sdc53
 259       38     204800 sdc54
 259       39       1024 sdc55
 259       40       1024 sdc56
 259       41       4096 sdc57
 259       42       6144 sdc58
 259       43       6144 sdc59
 259       44       1024 sdc60
 259       45       1024 sdc61
 259       46       1024 sdc62
 259       47      32768 sdc63
 259       48       4096 sdc64
 259       49      65536 sdc65
 259       50      65536 sdc66
 259       51       8192 sdc67
 259       52       8192 sdc68
 259       53       8192 sdc69
 259       54       8192 sdc70
 259       55      16384 sdc71
 259       56       5120 sdc72
 259       57      10240 sdc73
 259       58    7012352 sdc74
 259       59  116416480 sdc75
 259       60      16384 sdc76
 254        0    4307452 dm-0
 254        1     667356 dm-1
 254        2       1864 dm-2
 254        3     903140 dm-3
 254        4     701592 dm-4
 254        5      30748 dm-5
   7      128       1988 loop16
   7      136        324 loop17
   7      144      11016 loop18
   7      152       2220 loop19
   7      160       8964 loop20
   7      168      27920 loop21
   7      176       8824 loop22
   7      184      28284 loop23
   7      192       6800 loop24
   7      200       4616 loop25
   7      208       6980 loop26
   7      216      24056 loop27
   7      224      13272 loop28
   7      232      40792 loop29
   7      240        812 loop30
   7      248       3896 loop31
   7      256       7908 loop32
   7      264      18512 loop33
   7      272       6436 loop34
   7      280        672 loop35
   7      288      22276 loop36
   7      296        876 loop37
   7      304      42064 loop38
   7      312      13528 loop39
   7      320      23076 loop40
   7      328        268 loop41
   7      336       4200 loop42
   7      344    1398080 loop43
 254        8      22884 dm-8
 254        9        792 dm-9
 254       10        256 dm-10
 254       11       4152 dm-11
 254       12      23856 dm-12
 254       13      13408 dm-13
 254       15        856 dm-15
 254       16      13156 dm-16
 254       18      22088 dm-18
 254       20        652 dm-20
 254       22       6372 dm-22
 254       23      41724 dm-23
 254       24       7832 dm-24
 254       25      18356 dm-25
 254       28       3852 dm-28
 254       29       6912 dm-29
 254       34       4568 dm-34
 254       37       6732 dm-37
 254       39      28052 dm-39
 254       41       8740 dm-41
 254       42      27688 dm-42
 254       43       8880 dm-43
 253        0    5848504 zram0
 254       45  116416480 dm-45
 254       46       4092 dm-46
 254       47       4092 dm-47
